nuts_id,nuts3,mgrs_tile,year,ww_pct,observed_ww_yield,absolute_error_crop_pure,absolute_error_raw_ww05,absolute_error_raw_all,improvement_raw_ww05_minus_crop,improvement_raw_all_minus_crop,mean_crop_pure_improvement
DE219,Eichstätt (Lkr),32UPV,2024,0.234545788014356,7.290000000000001,0.5518072116208543,0.4294642648375673,0.11871709480211923,-0.12234294678328705,-0.4330901168187351,-0.2777165318010111
DE276,Augsburg (Lkr),32UPU,2024,0.144634061591332,7.19,0.3479421598141812,0.07969342821462,0.13613062512067753,-0.2682487315995612,-0.21181153469350367,-0.24003013314653243
DE238,Regensburg (Lkr),32UQV,2024,0.210047668955527,7.43,0.6794601772659332,0.665760170196048,0.21525506752434964,-0.013700007069885167,-0.4642051097415836,-0.23895255840573437
DE277,Dillingen a.d.Donau (Lkr),32UPU,2024,0.192873350233454,6.56,0.9282949274452799,0.6857827695728096,0.7885557001511376,-0.24251215787247027,-0.13973922729414223,-0.19112569258330625
DE236,Neumarkt i.d.OPf. (Lkr),32UPV,2024,0.123772370357845,7.49,0.7946005151478914,0.7900680487794665,0.42993062547349137,-0.00453246636842497,-0.36466988967440006,-0.18460117802141252
DE226,Kelheim (Lkr),32UQV,2024,0.179584975289263,7.92,1.1149186938939843,0.7626483758279745,1.3397677623085746,-0.35227031806600984,0.2248490684145903,-0.06371062482570977
DE268,Kitzingen (Lkr),32UNA,2024,0.144743679149899,6.94,0.28142398125043044,0.16505089829053254,0.3373809815323945,-0.1163730829598979,0.05595700028196404,-0.03020804133896693
DE21I,Neuburg-Schrobenhausen (Lkr),32UPU,2024,0.0794840066824132,7.4,0.17167133491335917,0.1938788877986255,0.10437409528892694,0.022207552885266324,-0.06729723962443224,-0.022544843369582956
DE21C,Fürstenfeldbruck (Lkr),32UPU,2024,0.195398272122445,6.44,1.0169603901042414,0.7349347240000581,1.263049841045782,-0.28202566610418334,0.24608945094154056,-0.01796810758132139
DE26C,Würzburg (Lkr),32UNA,2024,0.217582066691604,7.26,0.463520121708509,0.15971549789651984,0.7356147426377362,-0.30380462381198914,0.2720946209292272,-0.015855001441380967
DE25C,Weißenburg-Gunzenhausen (Lkr),32UPV,2024,0.126496437038906,7.279999999999999,0.4183148619616732,0.40702010853919113,0.45360498164812046,-0.011294753422482096,0.03529011968644724,0.011997683131982573
DE256,Ansbach (Lkr),32UPV,2024,0.089832383364591,7.07,0.16025473962935077,0.19828912698436518,0.15785811811837736,0.03803438735501441,-0.002396621510973418,0.017818882922020496
DE253,Fürth (Krfr.St),32UPV,2024,0.0725362713628428,7.229999999999999,0.007848584062968733,0.07651643929010543,0.029195012763428174,0.0686678552271367,0.02134642870045944,0.04500714196379807
DE21H,München (Lkr),32UPU,2024,0.124166852321816,6.44,0.7910132853946816,0.837966963207009,0.855625904711073,0.0469536778123274,0.0646126193163914,0.0557831485643594
DE27D,Donau-Ries (Lkr),32UPV,2024,0.168901782888298,7.06,0.08638790200432656,0.34652841587499594,0.05854661753402368,0.2601405138706694,-0.027841284470302874,0.11614961470018326
DE258,Fürth (Lkr),32UPV,2024,0.142014766772567,7.01,0.19563005326758187,0.321388549277172,0.3303265798972461,0.1257584960095901,0.13469652662966425,0.13022751131962718
DE239,Schwandorf (Lkr),32UQV,2024,0.0891883836915863,7.220000000000001,0.340915027328176,0.528141278647376,0.41534899647958756,0.1872262513192,0.07443396915141154,0.13083011023530577
DE269,Miltenberg (Lkr),32UNA,2024,0.0845898156605171,8.22,0.8662194327652992,1.0665164392901074,0.9608049872365738,0.2002970065248082,0.09458555447127459,0.1474412804980414
DE245,Bamberg (Lkr),32UPA,2024,0.119493432390945,5.29,1.6924124606800817,2.1118777669245468,1.5937963431286164,0.4194653062444651,-0.09861611755146527,0.16042459434649992
DE234,Amberg-Sulzbach (Lkr),32UQV,2024,0.127943356034961,7.45,0.6000252441369769,0.8300302835141302,0.7806540388953946,0.23000503937715333,0.18062879475841775,0.20531691706778554
DE24A,Kronach (Lkr),32UPA,2024,0.0521277152348659,4.76,2.015987651139308,2.491038077699317,2.015520780803584,0.47505042656000906,-0.0004668703357237902,0.23729177811214264
DE26A,Main-Spessart (Lkr),32UNA,2024,0.157693846849031,5.49,1.1609905877637479,1.300087105879844,1.543268874115041,0.13909651811609614,0.38227828635129324,0.2606874022336947
DE246,Bayreuth (Lkr),32UPA,2024,0.0736423224467793,6.540000000000001,0.20333499931139354,0.8710621876358218,0.1644355374180746,0.6677271883244282,-0.03889946189331894,0.31441386321555465
DE257,Erlangen-Höchstadt (Lkr),32UPA,2024,0.0990291440186307,6.92,0.00033043900165541373,0.2861211122013749,0.39364526781034215,0.2857906731997195,0.39331482880868673,0.3395527510042031
DE26B,Schweinfurt (Lkr),32UNA,2024,0.204546238475559,6.63,0.03294967737137089,0.09385589930098881,0.6565725431744251,0.06090622192961792,0.6236228658030543,0.3422645438663361
DE25B,Roth (Lkr),32UPV,2024,0.0912960137351323,6.63,0.2295866573622627,0.5804174523394696,0.6656259047110735,0.35083079497720693,0.43603924734881083,0.3934350211630089
DE21B,Freising (Lkr),32UPU,2024,0.165182120559326,6.42,0.7792327484995001,1.5751789300432053,0.8731799756527243,0.7959461815437052,0.09394722715322423,0.4449467043484647
DE249,Hof (Lkr),32UPA,2024,0.0648310306331872,4.49,2.3028177047359204,2.928387680964885,2.615388784888821,0.6255699762289648,0.31257108015290047,0.46907052819093265
