target_support,observed_target,residual
Native footprints,0.5650670528411865,-0.1688822477096916
Native footprints,0.7631282806396484,-0.3682296219312171
Native footprints,0.5399143695831299,-0.0820741055075864
Native footprints,0.455057144165039,-0.0077916300281966
Native footprints,0.5082504749298096,-0.0696209666995349
Native footprints,0.4057331085205078,0.1635664714209944
Native footprints,0.6059434413909912,0.0143330454261715
Native footprints,0.6739284992218018,-0.058836720196666
Native footprints,0.7167055606842041,-0.1245033168818091
Native footprints,0.4678182601928711,0.1433420438447566
Native footprints,0.494642972946167,0.0831639031689932
Native footprints,0.808253288269043,-0.2075428280613438
Native footprints,0.4261131286621094,0.1459197846635983
Native footprints,0.6446623802185059,-0.0501166745059958
Native footprints,0.5684947967529297,0.0119055375362194
Native footprints,0.671501636505127,-0.0984427875915019
Native footprints,0.7158989906311035,-0.1422425432864611
Native footprints,0.5720229148864746,-0.0298696163677508
Native footprints,0.462839126586914,0.1181170276165167
Native footprints,0.5414941310882568,0.0640430668011124
Native footprints,0.6214148998260498,-0.0324347551095249
Native footprints,0.8405594825744629,-0.2782842148344411
Native footprints,0.7890903949737549,-0.1621584247988932
Native footprints,1.0754327774047852,-0.4682531500733466
Native footprints,0.6670997142791748,-0.0501266136766264
Native footprints,0.4528346061706543,0.0339556853773089
Native footprints,0.1887333393096923,0.2761956531825629
Native footprints,0.5232052803039551,-0.0422360367313396
Native footprints,0.7766373157501221,-0.3303980132706908
Native footprints,0.2538330554962158,0.1381282851464441
Native footprints,0.3429455757141113,0.0771902211695835
Native footprints,0.5619332790374756,-0.1707182462598526
Native footprints,0.4121325016021728,-0.0461264172370526
Native footprints,0.3233890533447265,0.0407906472722567
Native footprints,0.2208929061889648,0.1374210538690554
Native footprints,0.4328112602233886,-0.1215536828101103
Native footprints,0.4466173648834228,-0.144222599803103
Native footprints,0.3774697780609131,-0.0678104896450764
Native footprints,0.3377561569213867,-0.0377836869288698
Native footprints,0.2877089977264404,0.02482227230829
Native footprints,0.3027410507202148,0.0420766079688706
Native footprints,0.5449209213256836,-0.1751141882387515
Native footprints,0.4375660419464111,-0.1317435673560805
Native footprints,0.575225830078125,-0.2251979118316373
Native footprints,0.4632594585418701,-0.1380989600696064
Native footprints,0.6252169609069824,-0.2282240083438284
Native footprints,0.4295215606689453,-0.0280670183413179
Native footprints,0.3933095932006836,-0.0991142454596043
Native footprints,0.5122239589691162,-0.1940932327394335
Native footprints,0.68381667137146,-0.2344414341626275
Native footprints,0.3796215057373047,-0.0096486401638522
Native footprints,0.1572012901306152,0.150957867330037
Native footprints,0.2922439575195312,0.0144599762902693
Native footprints,0.6449732780456543,-0.2889313392476187
Native footprints,0.4325449466705322,-0.1402292947642908
Native footprints,0.1970629692077636,0.1279087897538722
Native footprints,0.468376874923706,-0.1101446007614767
Native footprints,0.5371701717376709,-0.1116578601125006
Native footprints,0.1523144245147705,0.2633230960361573
Native footprints,0.5006163120269775,-0.1448382036418964
Native footprints,0.4913201332092285,-0.1091277876758904
Native footprints,0.4059293270111084,0.0073319100343246
Native footprints,0.6288619041442871,-0.2276615604717178
Native footprints,0.4117403030395508,-0.0572558869770318
Native footprints,0.2907352447509765,0.1549798017596365
Native footprints,0.5181708335876465,-0.1111159761821973
Native footprints,0.4276864528656006,0.0051036334307911
Native footprints,0.3277287483215332,0.032594568210269
Native footprints,0.1488046646118164,0.2493964294051949
Native footprints,0.3560492992401123,0.1084260190505853
Native footprints,0.7616667747497559,-0.3035735696690708
Native footprints,0.7510695457458496,-0.3345888169375439
Native footprints,0.1660969257354736,0.2285637303948721
Native footprints,0.5832066535949707,-0.1380093294084881
Native footprints,0.6879756450653076,-0.2579906702215219
Native footprints,0.6163630485534668,-0.1889042016015592
Native footprints,0.3015265464782715,0.1404779726630771
Native footprints,0.4398112297058105,-0.0393643410307301
Native footprints,0.2694649696350097,0.1730243582119249
Native footprints,0.2964694499969482,0.1266900747040925
Native footprints,0.4303908348083496,0.0159840484669494
Native footprints,0.4539799690246582,0.0112024552629499
Native footprints,0.5341615676879883,-0.0776996265720655
Native footprints,0.6072273254394531,-0.1584880603212829
Native footprints,0.5711467266082764,-0.1061723360214771
Native footprints,0.7948079109191895,-0.343610308307075
Native footprints,0.5672352313995361,-0.0612917598329654
Native footprints,0.683892011642456,-0.2015354268400874
Native footprints,0.4398231506347656,0.0168310575464283
Native footprints,0.4760887622833252,-0.038266419904287
Native footprints,0.6582684516906738,-0.1795422420811889
Native footprints,0.673210620880127,-0.206842386093275
Native footprints,0.4061877727508545,0.0455362023628643
Native footprints,0.8087177276611328,-0.32232328909296
Native footprints,0.3206048011779785,0.1308058964089987
Native footprints,0.6253037452697754,-0.1434188098604527
Native footprints,0.5857505798339844,-0.1461520983546898
Native footprints,0.3023204803466797,0.1427723668735753
Native footprints,0.5148000717163086,-0.0015668931415043
Native footprints,0.3273301124572754,0.1469021765825676
Native footprints,0.7318916320800781,-0.1718525272402289
Native footprints,0.6052589416503906,-0.034825452274488
Native footprints,0.4238369464874267,-0.014609115421508
Native footprints,0.5376489162445068,-0.016856586835473
Native footprints,0.6110324859619141,-0.0313045956110032
Native footprints,0.894904375076294,-0.3891834768705415
Native footprints,0.5343630313873291,0.0300202416589431
Native footprints,0.482823371887207,0.1061621715216418
Native footprints,0.7324173450469971,-0.1540006620943137
Native footprints,0.6117558479309082,-0.0902847556596656
Native footprints,0.3735616207122803,0.0601485131839438
Native footprints,0.4380924701690674,0.0046820067906245
Native footprints,0.5114626884460449,-0.0292024825714176
Native footprints,0.2620131969451904,0.2102927405153544
Native footprints,0.2073895931243896,0.1980951957207669
Native footprints,0.5627169609069824,-0.1072390234903002
Native footprints,0.570960283279419,-0.1723094413825402
Native footprints,0.4245738983154297,0.0395039105785143
Native footprints,0.5471789836883545,-0.125388733002414
Native footprints,0.3654205799102783,0.079445767627468
Native footprints,0.2796156406402588,0.1492626022770765
Native footprints,0.187666654586792,0.2190888207897726
Native footprints,0.3645265102386474,0.0495324142720666
Native footprints,0.8471763134002686,-0.3757568044100829
Native footprints,0.2661991119384765,0.2234402474603911
Native footprints,0.520371675491333,-0.1228184552276076
Native footprints,0.2381644248962402,0.1656631494517321
Native footprints,0.327369213104248,0.1554745423315985
Native footprints,0.4235382080078125,0.0322811046752073
Native footprints,0.5069718360900879,-0.1117206673124002
Native footprints,0.6603474617004395,-0.2392440719151939
Native footprints,0.728402853012085,-0.2814384079954783
Native footprints,0.2682416439056396,0.1082244375119051
Native footprints,0.297482967376709,0.1111182166125618
Native footprints,0.3078978061676025,0.0803286823159461
Native footprints,0.1561310291290283,0.2114836201535823
Native footprints,0.3636658191680908,0.0232427442262134
Native footprints,0.5530011653900146,0.0024097264086295
Native footprints,0.5937747955322266,-0.0038047269595375
Native footprints,0.4893479347229004,0.1021271420326976
Native footprints,0.3996984958648681,0.0907117722583772
Native footprints,0.4208581447601318,0.1132718994308148
Native footprints,0.8574051856994629,-0.262740770104598
Native footprints,0.1976237297058105,0.3059506975108818
Native footprints,0.4047126770019531,0.0023781921352492
Native footprints,0.7694137096405029,-0.1978487647812565
Native footprints,0.7759804725646973,-0.1872608147528126
Native footprints,0.0824451446533203,0.4814756199675911
Native footprints,0.1178231239318847,0.4042031747658752
Native footprints,0.6874904632568359,-0.1001725636371609
Native footprints,0.4964637756347656,0.1153993399854239
Native footprints,0.1143133640289306,0.4488076579426899
Native footprints,0.5237181186676025,0.0566129528529789
Native footprints,0.4909639358520508,0.0864789579726643
Native footprints,0.7278614044189453,-0.1271883056160804
Native footprints,0.8382811546325684,-0.2685562436242102
Native footprints,0.348646879196167,0.281812645622314
Native footprints,0.0945756435394287,0.4725942136289736
Native footprints,0.8096880912780762,-0.1881275132218596
Native footprints,0.605191707611084,0.0020389619023283
Native footprints,0.8691442012786865,-0.2566293162579088
Native footprints,0.3561010360717773,0.2613557382839935
Native footprints,0.3939137458801269,0.1880852148247341
Native footprints,0.6272292137145996,-0.0409685375588114
Native footprints,0.7515130043029785,-0.1517198923489496
Native footprints,0.6168050765991211,-0.0155625998023878
Native footprints,0.7586400508880615,-0.1538452958908153
Native footprints,0.5687856674194336,-0.0201239999088439
Native footprints,0.52443528175354,0.0381485089830514
Native footprints,0.393420934677124,0.1576868312465158
Native footprints,0.5939886569976807,-0.0133526820583377
Native footprints,0.6928932666778564,-0.1117235573837397
Native footprints,0.4492778778076172,0.0612069982815371
Native footprints,0.739570140838623,-0.1545168699513752
Native footprints,0.8385443687438965,-0.2451787680944241
Native footprints,0.4079992771148681,0.1533053916335588
Native footprints,0.9461123943328856,-0.3360012770694349
Native footprints,0.7575500011444092,-0.2310000277204481
Native footprints,0.8794956207275391,-0.2926161808128719
Native footprints,0.6291341781616211,-0.0368048810432795
Native footprints,0.7776248455047607,-0.1903740614464791
Native footprints,0.5000593662261963,0.0259754615222435
Native footprints,0.604454517364502,-0.0296280261561533
Native footprints,0.5784177780151367,0.0344464269385238
Native footprints,0.6337680816650391,-0.024091681831235
Native footprints,0.4791250228881836,0.1362035010651212
Native footprints,0.7253789901733398,-0.1125558888998745
Native footprints,0.8340857028961182,-0.2352304910358571
Native footprints,0.7181963920593262,-0.1145553621512609
Native footprints,0.7753307819366455,-0.2108093514458962
Native footprints,0.829277515411377,-0.2078860145829484
Native footprints,0.7083933353424072,-0.1009414421412576
Native footprints,0.7545461654663086,-0.1739339325034365
Native footprints,0.414323091506958,0.162551344555535
Native footprints,0.5917680263519287,-0.0380088276605917
Native footprints,0.5058197975158691,0.0645351654262276
Native footprints,0.6610548496246338,-0.0567261612817802
Native footprints,0.6153059005737305,-0.0511543418559616
Native footprints,0.7287759780883789,-0.1542185626133679
Native footprints,0.6930491924285889,-0.1386417825656957
Native footprints,0.6935012340545654,-0.0592844647735831
Native footprints,0.600311279296875,-0.0044619734344125
Native footprints,0.7859411239624023,-0.2082114246079668
Native footprints,0.4808592796325683,0.1067351189223899
Native footprints,0.5831601619720459,0.0538500624940244
Native footprints,0.5759353637695312,-0.0434140685424042
Native footprints,0.87249755859375,-0.282899386303663
Native footprints,0.0150830745697021,0.3915028941376395
Native footprints,0.6180164813995361,-0.2352175498394366
Native footprints,0.2048079967498779,0.1977227258135471
Native footprints,0.5878386497497559,-0.1890844965134014
Native footprints,0.5393457412719727,-0.1674235796768444
Native footprints,0.3064982891082763,0.0679230682658856
Native footprints,0.2094788551330566,0.1470601621258472
Native footprints,0.6557934284210205,-0.1101515317316983
Native footprints,0.5843238830566406,-0.0394170060574958
Native footprints,0.6065337657928467,0.0063785366015198
Native footprints,0.7714951038360596,-0.1997925536713238
Native footprints,0.3682334423065185,0.1920134508390338
Native footprints,0.3808159828186035,0.2164020755943596
Native footprints,0.5191519260406494,0.0847998354199364
Native footprints,0.4880976676940918,0.075301325583446
Native footprints,0.5111846923828125,0.0346033984406966
Native footprints,0.5940690040588379,-0.0541211327033049
Native footprints,0.5493617057800293,-0.0745341495626725
